original_value;state;city_override;state_override;country;country_override
Región Metropolitana;;NULL;Región Metropolitana;;Chile
Ensenada;;Puerto Varas;Los Lagos;Chile;Chile
Crespo;;;;;
Fsdff;;;;;
Metropolitana ;;;Región Metropolitana;Chile;Chile
Metropolitano ;;;Región Metropolitana;Chile;Chile
Rm;;;Región Metropolitana;Chile;Chile
Stgo;;Santiago;Región Metropolitana;Chile;Chile
15:30;;;;;
20;;;;;
41;;;;;
47;;;;;
60;;;;;
Santiago de Chile;;Santiago;Región Metropolitana;Chile;Chile
Sopó, cundinamarca;;Sopó;Cundinamarca;Colombia;Colombia
Coyhaique Antofagasta ;;Antofagasta;Antofagasta;Chile;Chile
Pto Varas;;Puerto Varas;Los Lagos;Chile;Chile
Ubaté cundinamarca ;;Ubate;Cundinamarca;Colombia;Colombia
Antofagsata;;Antofagasta;Antofagasta;Chile;Chile
Ubate Cundinamarca ;;Ubate;Cundinamarca;Colombia;Colombia
Santisgo;;Santiago;Región Metropolitana;Chile;Chile
Región metropolitana ;;;Región Metropolitana;Chile;Chile
Liceo Alberto gallardo;;Punitaqui;Coquimbo;Chile;Chile
Santiqgo;;Santiago;Región Metropolitana;Chile;Chile
Sa;;;;;
Colegio cumbres del choapa;;Salamanca;Coquimbo;Chile;Chile
Casma;;Frutillar;Los Lagos;Chile;Chile
Coquimbo salamanca;;Salamanca;Coquimbo;Chile;Chile
